key,field,english,spanish (fill in)
element.5.fact,fact,Found in the laundry powder Borax! Also makes glass extra tough.,"¡Se encuentra en el polvo de la lavandería, bórax! Además, hace que el vidrio sea aún más resistente."
element.5.whatIf,whatIf,"If you mixed borax with glue and water, you'd make slime! That's the actual chemistry behind every slime recipe.","Si mezclaras bórax con pegamento y agua, ¡harías baba! Esa es la química real detrás de cada receta de slime."
element.5.where,where,Mostly mined in Turkey and California's Mojave Desert from giant dried-up lake beds.,"Principalmente extraído en Turquía y el desierto de Mojave en California, en enormes lechos de lagos secos."
element.5.uses.0,use,Pyrex glass,Vidrio Pyrex
element.5.uses.1,use,Detergents,Detergentes
element.5.uses.2,use,Slime,Slime
element.6.fact,fact,You're made of it! Diamonds AND pencil lead are both pure carbon — just arranged differently.,¡Estás hecho de eso! Los diamantes Y la mina del lápiz son ambos carbono puro — solo que dispuestos de forma diferente.
element.6.whatIf,whatIf,"If you squeezed pencil lead with the pressure of 100 elephants standing on a pinhead, it would turn into a diamond!","Si exprimieras la mina del lápiz con la presión de 100 elefantes de pie sobre una cabeza de alfiler, ¡se convertiría en un diamante!"
element.6.where,where,"Everywhere life exists! In the air as CO?, in oceans, in every plant and animal. Diamond mines are mostly in Russia, Africa, and Canada.","¡En todas partes donde existe la vida! En el aire como CO?, en los océanos, en cada planta y animal. Las minas de diamantes se encuentran principalmente en Rusia, África y Canadá."
element.6.uses.0,use,Diamonds,Diamantes
element.6.uses.1,use,Pencils,Lápices
element.6.uses.2,use,All living things,Todos los seres vivos
element.7.fact,fact,78% of the air you breathe is nitrogen! It also makes ice cream when frozen.,¡El 78% del aire que respiras es nitrógeno! También hace helado cuando está congelado.
element.7.whatIf,whatIf,"If you poured liquid nitrogen on a flower, it would freeze so fast it would shatter like glass when you tap it!","Si vertieras nitrógeno líquido sobre una flor, se congelaría tan rápido que se rompería como cristal al tocarla."
element.7.where,where,All around you — almost 4 out of every 5 breaths is nitrogen. Pulled from the air in factories.,A tu alrededor — casi 4 de cada 5 respiraciones es nitrógeno. Sacado del aire en fábricas.
element.7.uses.0,use,Air,Aire
element.7.uses.1,use,Fertilizer,Fertilizante
element.7.uses.2,use,Frozen food,Comida congelada
element.8.fact,fact,You can't live without it for more than a few minutes! It also makes things rust and burn.,¡No puedes vivir sin él más de unos minutos! También hace que las cosas se oxiden y quemen.
element.8.whatIf,whatIf,"If Earth's air had double the oxygen, fires would burn way more fiercely — even wet trees could catch fire!","Si el aire terrestre tuviera el doble de oxígeno, los incendios arderían mucho más intensamente — ¡incluso los árboles mojados podrían prenderse fuego!"
element.8.where,where,21% of Earth's atmosphere. Plants and ocean algae make almost all of it through photosynthesis.,21% de la atmósfera terrestre. Las plantas y las algas marinas producen casi todo a través de la fotosíntesis.
element.8.uses.0,use,Breathing,Respiración
element.8.uses.1,use,Fire,Incendio
element.8.uses.2,use,Water,Agua
element.9.fact,fact,Helps protect your teeth from cavities — it's in your toothpaste!,Ayuda a proteger tus dientes de las caries — ¡está en tu pasta de dientes!
element.9.whatIf,whatIf,Pure fluorine gas is so reactive it can set water on fire and melt glass! Definitely not the friendly form in toothpaste.,El gas de flúor puro es tan reactivo que puede prender fuego al agua y derretir el vidrio. Definitivamente no es la forma amigable de la pasta de dientes.
element.9.where,where,"Found in the mineral fluorite — mined mostly in China, Mexico, and Mongolia.","Se encuentra en el mineral fluorita, extraído principalmente en China, México y Mongolia."
element.9.uses.0,use,Toothpaste,Pasta de dientes
element.9.uses.1,use,Teflon pans,Sartenes de teflón
element.9.uses.2,use,Refrigerators,Frigoríficos
element.10.fact,fact,Makes those bright orange-red glowing signs in cities!,¡Hace esos carteles brillantes de color naranja-rojo en las ciudades!
element.10.whatIf,whatIf,"If you put electricity through any noble gas, it glows a different color — neon glows orange-red, argon glows blue, xenon glows white.","Si pasas electricidad por cualquier gas noble, brilla de un color diferente: el neón brilla naranja-rojo, el argón brilla azul, el xenón brilla blanco."
element.10.where,where,Tiny amounts in the air around you (about 0.0018%). Extracted by cooling air until it turns liquid.,"Pequeñas cantidades en el aire a tu alrededor (alrededor del 0,0018%). Se extrae enfriando el aire hasta que se vuelve líquido."
element.10.uses.0,use,Neon signs,Carteles de neón
element.10.uses.1,use,Lasers,Láseres
element.10.uses.2,use,TV tubes,Tubos de televisión
element.11.fact,fact,"Combine with chlorine and you get table salt! On its own, it explodes in water.","¡Combinado con cloro obtienes sal de mesa! Por sí sola, explota en agua."
element.11.whatIf,whatIf,"If you tossed a pea-sized chunk of pure sodium into a pool, it would zoom around the surface, spit yellow flames, and BOOM!","Si tirabas un trozo de sodio puro del tamaño de un guisante en una piscina, volaba por la superficie, escupiría llamas amarillas y ¡BOOM!"
element.11.where,where,Oceans are full of it as salt — about 3% of seawater. Also mined as rock salt deep underground.,Los océanos están llenos de ella como sal — alrededor del 3% del agua de mar. También se extrae como sal gema en lo profundo del subsuelo.
element.11.uses.0,use,Table salt,Sal de mesa
element.11.uses.1,use,Streetlights,Faroles
element.11.uses.2,use,Soap,Jabón
element.12.fact,fact,Burns with a blinding white flame! Plants need it to make chlorophyll (their green color).,¡Arde con una llama blanca cegadora! Las plantas la necesitan para producir clorofila (su color verde).
element.12.whatIf,whatIf,"If you light a magnesium ribbon, NEVER look directly at it — the light is so bright it can damage your eyes like staring at the sun!","Si iluminas una cinta de magnesio, NUNCA la mires directamente: la luz es tan brillante que puede dañar tus ojos como si miraras al sol."
element.12.where,where,7th most abundant element in Earth's crust. Also tons of it in seawater and inside every green plant.,Séptimo elemento más abundante de la corteza terrestre. También hay muchísimos en agua de mar y dentro de cada planta verde.
element.12.uses.0,use,Fireworks,Fuegos artificiales
element.12.uses.1,use,Plants,Plantas
element.12.uses.2,use,Race cars,Coches de carreras
element.13.fact,fact,That can of soda? Made of this! It's super light and never rusts.,¿Esa lata de refresco? ¡Hecho de esto! Es muy ligero y nunca se oxida.
element.13.whatIf,whatIf,"If aluminum existed before the 1800s, the Washington Monument's tip wouldn't have been the world's most expensive metal cap — it cost more than silver back then!","Si el aluminio hubiera existido antes del siglo XIX, la punta del Monumento a Washington no habría sido la tapa metálica más cara del mundo — ¡costaba más que la plata en aquel entonces!"
element.13.where,where,"The most common metal in Earth's crust! Mined as bauxite ore, mostly in Australia, Guinea, and Brazil.","¡El metal más común en la corteza terrestre! Se extraía como mineral de bauxita, principalmente en Australia, Guinea y Brasil."
element.13.uses.0,use,Soda cans,Latas de refresco
element.13.uses.1,use,Foil,Florete
element.13.uses.2,use,Airplanes,Aviones
element.14.fact,fact,The brain of every computer chip! Also what sand and glass are made of.,¡El cerebro de cada chip informático! También de qué están hechos la arena y el cristal.
element.14.whatIf,whatIf,"If you melted beach sand to about 1700°C and pulled out a perfect crystal, you'd have the start of every computer chip on Earth!","Si derrites arena de playa a unos 1700°C y sacaras un cristal perfecto, ¡tendrías el inicio de todos los chips informáticos del mundo!"
element.14.where,where,Second most common element in Earth's crust. Every grain of sand on every beach is mostly silicon and oxygen.,Segundo elemento más común en la corteza terrestre. Cada grano de arena en cada playa es mayormente silicio y osígeno.
element.14.uses.0,use,Computer chips,Chips de ordenador
element.14.uses.1,use,Glass,Vidrio
element.14.uses.2,use,Sand,Arena
element.15.fact,fact,Glows in the dark! It's also what makes the tip of a match light up.,¡Brilla en la oscuridad! También es lo que hace que la punta de un cerillo se encienda.
element.15.whatIf,whatIf,White phosphorus catches fire just by touching air — it has to be stored underwater so it doesn't burst into flames!,El fósforo blanco se prende fuego solo con tocar el aire — ¡hay que almacenarlo bajo el agua para que no se incendie!
element.15.where,where,"Mined as phosphate rock, mostly in Morocco, China, and the US (Florida). Essential for growing food.","Extraído como roca fosfatada, principalmente en Marruecos, China y Estados Unidos (Florida). Esencial para cultivar alimentos."
element.15.uses.0,use,Matches,Partidos
element.15.uses.1,use,Fertilizer,Fertilizante
element.15.uses.2,use,Bones,Bones
element.16.fact,fact,That stinky 'rotten egg' smell? That's sulfur! Volcanoes spit it out too.,¿Ese olor apestoso a huevo podrido? ¡Eso es azufre! Los volcanes también lo escupen.
element.16.whatIf,whatIf,"If you visited a volcano vent, you'd see bright yellow sulfur crystals growing right out of the rocks — and you'd smell them from far away!","Si visitaras una boca volcánica, verías cristales de azufre amarillo brillante creciendo justo en las rocas — ¡y los olerías desde lejos!"
element.16.where,where,Found near volcanoes (especially in Indonesia and Italy) and pulled out of oil and natural gas wells.,Se encuentra cerca de volcanes (especialmente en Indonesia e Italia) y se extrae de pozos de petróleo y gas natural.
element.16.uses.0,use,Gunpowder,Pólvora
element.16.uses.1,use,Rubber,Goma
element.16.uses.2,use,Volcanoes,Volcanes
element.17.fact,fact,Keeps swimming pools clean by killing germs. Also makes bleach!,Mantiene las piscinas limpias matando gérmenes. ¡También hace lejía!
element.17.whatIf,whatIf,That 'pool smell' isn't actually clean chlorine — it's chlorine reacting with sweat and other stuff. A clean pool barely smells at all!,"Ese 'olor a piscina' en realidad no es cloro limpio, sino cloro reaccionando con el sudor y otras cosas. ¡Una piscina limpia apenas huele nada!"
element.17.where,where,Half of every salt grain (NaCl) is chlorine. Extracted from salt or seawater using electricity.,La mitad de cada grano de sal (NaCl) es cloro. Extraído de sal o agua de mar usando electricidad.
element.17.uses.0,use,Pools,Piscinas
element.17.uses.1,use,Bleach,Lejía
element.17.uses.2,use,Salt,Sal
element.18.fact,fact,Fills old-school light bulbs so they don't burn out too fast.,Rellena bombillas antiguas para que no se quemen demasiado rápido.
element.18.whatIf,whatIf,"If light bulbs were filled with regular air, the hot filament would burn up in seconds. Argon is too lazy to react, so it just chills around the wire.","Si las bombillas se llenaran con aire normal, el filamento caliente se quemaría en segundos. El argón es demasiado perezoso para reaccionar, así que simplemente se queda frío alrededor del cable."
element.18.where,where,Almost 1% of the air you're breathing right now! Pulled out of liquid air at factories.,¡Casi el 1% del aire que respiras ahora mismo! Sacado del aire líquido en fábricas.
element.18.uses.0,use,Light bulbs,Bombillas
element.18.uses.1,use,Welding,Soldadura
element.18.uses.2,use,Preserving documents,Preservación de documentos
element.19.fact,fact,Bananas are full of it! Helps your muscles move and your heart beat.,¡Los plátanos están llenos de eso! Ayuda a que tus músculos se muevan y a que tu corazón latiera.
element.19.whatIf,whatIf,"If you dropped pure potassium in water, it would fizz, spit, and burst into PURPLE flames — even more dramatic than sodium!","Si echas potasio puro en agua, burbujearía, escupiría y estallaría en llamas PÚRPURAS — ¡incluso más dramático que el sodio!"
element.19.where,where,"7th most abundant element in Earth's crust. Mined as potash in Canada, Russia, and Belarus for fertilizer.","Séptimo elemento más abundante de la corteza terrestre. Extraído como potasa en Canadá, Rusia y Bielorrusia para fertilizante."
element.19.uses.0,use,Bananas,Plátanos
element.19.uses.1,use,Fertilizer,Fertilizante
element.19.uses.2,use,Soap,Jabón
element.20.fact,fact,Builds your bones and teeth! That's why milk is so good for you.,¡Fortalece tus huesos y dientes! Por eso la leche es tan buena para ti.
element.20.whatIf,whatIf,"If your body ran low on calcium, your body would actually steal it from your own bones to keep your heart beating!","Si tu cuerpo se quedara sin calcio, en realidad te lo robaría de los huesos para mantener el corazón latiendo."
element.20.where,where,"5th most abundant element in Earth's crust. Limestone, chalk, and marble are all mostly calcium.","Quinto elemento más abundante de la corteza terrestre. La piedra caliza, la tiza y el mármol son principalmente calcio."
element.20.uses.0,use,Bones,Bones
element.20.uses.1,use,Teeth,Dientes
element.20.uses.2,use,Chalk,Tiza
element.21.fact,fact,Makes baseball bats and bicycles really light but super strong.,Hace que los bates de béisbol y las bicicletas sean muy ligeros pero súper resistentes.
element.21.whatIf,whatIf,"If a soviet fighter jet didn't have scandium, it would be heavier and slower — Russian MiG jets used scandium-aluminum alloys to be faster.","Si un caza soviético no tuviera escandio, sería más pesado y lento: los MiG rusos usaban aleaciones de escandio-aluminio para ser más rápidos."
element.21.where,where,"Spread thinly all over Earth — never in big chunks. Mostly comes from China, Russia, and Ukraine as a byproduct.","Esparcidos por toda la Tierra — nunca en grandes trozos. Principalmente proviene de China, Rusia y Ucrania como subproducto."
element.21.uses.0,use,Bicycles,Bicicletas
element.21.uses.1,use,Baseball bats,Bates de béisbol
element.21.uses.2,use,Aerospace,Aeroespacial
element.22.fact,fact,Strong as steel but half the weight! Used in everything from glasses to spaceships.,"¡Fuerte como el acero pero la mitad de pesante! Se usa en todo, desde gafas hasta naves espaciales."
element.22.whatIf,whatIf,"If you broke your hip, doctors might replace it with a titanium one — and it could last 20+ years inside your body without your immune system getting mad!","Si te rompes la cadera, los médicos podrían reemplazarla por una de titanio — y podría durar 20+ años dentro de tu cuerpo sin que tu sistema inmunitario se enfade."
element.22.where,where,"9th most common element in Earth's crust. Big mines in Australia, South Africa, and Canada.","Noveno elemento más común en la corteza terrestre. Grandes minas en Australia, Sudáfrica y Canadá."
element.22.uses.0,use,Aircraft,Aeronaves
element.22.uses.1,use,Glasses,Gafas
element.22.uses.2,use,Hip implants,Implantes de cadera
element.23.fact,fact,Makes steel extra strong — like the kind in tools and car parts!,¡Hace que el acero sea aún más resistente — como el que se encuentra en herramientas y piezas de coche!
element.23.whatIf,whatIf,"If Henry Ford hadn't used vanadium steel, his Model T would have been twice as heavy and probably wouldn't have changed the world.","Si Henry Ford no hubiera usado acero vanadio, su Model T habría sido el doble de pesado y probablemente no habría cambiado el mundo."
element.23.where,where,"Mined mostly in China, Russia, and South Africa. Named after Vanadis, a Norse goddess.","Minó principalmente en China, Rusia y Sudáfrica. Nombrada en honor a Vanadis, una diosa nórdica."
element.23.uses.0,use,Steel tools,Herramientas de acero
element.23.uses.1,use,Springs,Manantiales
element.23.uses.2,use,Car parts,Piezas de coche
element.24.fact,fact,That shiny silver coating on car bumpers and faucets? That's chromium!,¿Ese recubrimiento plateado brillante en los parachoques y grifos? ¡Eso es cromo!
element.24.whatIf,whatIf,"If stainless steel didn't have chromium in it, your kitchen sink and silverware would rust away in just a few years!","Si el acero inoxidable no tuviera cromo, ¡tu fregadero y cubertería de cocina se oxidarían en solo unos años!"
element.24.where,where,"Mined as chromite, mostly in South Africa, Kazakhstan, and India.","Extraído como cromita, principalmente en Sudáfrica, Kazajistán e India."
element.24.uses.0,use,Stainless steel,Acero inoxidable
element.24.uses.1,use,Plating,Placado
element.24.uses.2,use,Paints,Pinturas
element.25.fact,fact,Inside almost every battery! Also makes train tracks tougher.,"¡Dentro de casi todas las baterías! Además, hace que las vías del tren sean más duras."
element.25.whatIf,whatIf,"Without manganese, train tracks would crack apart from the constant pounding of trains. It makes steel three times harder!","Sin manganeso, las vías del tren se agrietarían aparte del constante golpeteo de los trenes. ¡Hace que el acero sea tres veces más duro!"
element.25.where,where,"Mined in South Africa, Australia, and Gabon. Strange fact — there are tons of manganese 'nodules' on the deep ocean floor.","Minó en Sudáfrica, Australia y Gabón. Dato curioso: hay montones de 'nódulos' de manganeso en el fondo profundo del océano."
element.25.uses.0,use,Batteries,Baterías
element.25.uses.1,use,Train tracks,Vías del tren
element.25.uses.2,use,Steel,Acero
element.26.fact,fact,Earth's core is made of it! Your blood has iron — that's why it's red.,¡El núcleo de la Tierra está hecho de eso! Tu sangre tiene hierro — por eso es roja.
element.26.whatIf,whatIf,"If you put a magnet on your wrist, it doesn't stick because the iron in your blood is too spread out and too weak. Whew!","Si te pones un imán en la muñeca, no se pega porque el hierro en tu sangre está demasiado disperso y débil. ¡Uf!"
element.26.where,where,"4th most common element in Earth's crust AND Earth's whole core is mostly iron! Big mines in Australia, Brazil, and China.","¡El cuarto elemento más común en la corteza terrestre Y en todo el núcleo terrestre es mayormente hierro! Grandes minas en Australia, Brasil y China."
element.26.uses.0,use,Blood,Sangre
element.26.uses.1,use,Buildings,Edificios
element.26.uses.2,use,Cars,Coches
element.27.fact,fact,Makes that beautiful deep blue color in stained glass windows!,¡Hace ese precioso color azul profundo en las vidrieras!
element.27.whatIf,whatIf,"If you didn't have cobalt, your phone battery wouldn't be able to charge as fast or hold as much power. It's the secret sauce in lithium batteries.","Si no tuvieras cobalto, la batería de tu móvil no podría cargarse tan rápido ni retener tanta energía. Es la salsa secreta de las baterías de litio."
element.27.where,where,Mostly mined in the Democratic Republic of Congo (over 70% of the world's supply!). Demand is huge for batteries.,Se extrae principalmente en la República Democrática del Congo (¡más del 70% del suministro mundial!). La demanda de baterías es enorme.
element.27.uses.0,use,Blue paint,Pintura azul
element.27.uses.1,use,Magnets,Imanes
element.27.uses.2,use,Jet engines,Motores a reacción
element.28.fact,fact,"That nickel coin in your pocket? It's actually mostly copper, but it's named after this metal!","¿Esa moneda de cinco céntimos en tu bolsillo? En realidad es mayormente cobre, ¡pero lleva el nombre de este metal!"
element.28.whatIf,whatIf,"If a magnet sticks to a piece of metal, there's a good chance it has nickel inside — only iron, nickel, and cobalt are magnetic by themselves.","Si un imán se adhiere a un trozo de metal, hay muchas probabilidades de que contenga níquel en su interior — solo el hierro, el níquel y el cobalto son magnéticos por sí solos."
element.28.where,where,"Mined in Indonesia, the Philippines, and Russia. There's also a TON of nickel in meteorites!","Minó en Indonesia, Filipinas y Rusia. ¡También hay UN MONTÓN de níquel en los meteoritos!"
element.28.uses.0,use,Coins,Monedas
element.28.uses.1,use,Stainless steel,Acero inoxidable
element.28.uses.2,use,Batteries,Baterías
element.29.fact,fact,Electricity zooms through it super fast! That's why all wires use copper.,¡La electricidad pasa a toda velocidad! Por eso todos los cables usan cobre.
element.29.whatIf,whatIf,"If your house had no copper wires, no lights, no fridge, no Wi-Fi router would work. There's about 200 kg of copper in an average home!","Si tu casa no tuviera cables de cobre, ni luces, ni nevera, ni router Wi-Fi, funcionaría. ¡Hay unos 200 kg de cobre en una casa promedio!"
element.29.where,where,"Mined mostly in Chile, Peru, and the Democratic Republic of Congo. The Statue of Liberty's green color is from copper that turned over time.","Minó principalmente en Chile, Perú y la República Democrática del Congo. El color verde de la Estatua de la Libertad proviene del cobre que se revolvió con el tiempo."
element.29.uses.0,use,Wires,Cables
element.29.uses.1,use,Pennies,Monedas
element.29.uses.2,use,Pipes,Tuberías
element.30.fact,fact,Sunscreen contains it to block UV rays! Also keeps iron from rusting.,¡El protector solar lo contiene para bloquear los rayos UV! También evita que el hierro se oxide.
element.30.whatIf,whatIf,"If you didn't have enough zinc in your diet, your sense of taste would actually start fading away!","Si no tienes suficiente zinc en tu dieta, ¡tu sentido del gusto empezaría a desvanecerse!"
element.30.where,where,"Mined in China, Australia, Peru, and the United States.","Minó en China, Australia, Perú y Estados Unidos."
element.30.uses.0,use,Sunscreen,Protector solar
element.30.uses.1,use,Batteries,Baterías
element.30.uses.2,use,Galvanizing,Galvanización
element.31.fact,fact,Melts in your hand! It becomes liquid at just 30°C (86°F).,¡Se derrite en tu mano! Se vuelve líquido a solo 30°C (86°F).
element.31.whatIf,whatIf,"If you put a gallium spoon in hot tea, it would melt right in front of you — classic chemistry prank!","Si pusieras una cuchara de galio en té caliente, se derretiría delante de ti — ¡broma clásica de química!"
element.31.where,where,Found as a tiny byproduct when mining aluminum and zinc. Mostly comes from China.,Se encuentra como un subproducto diminuto al extraer aluminio y zinc. La mayoría viene de China.
element.31.uses.0,use,LEDs,LEDs
element.31.uses.1,use,Solar panels,Paneles solares
element.31.uses.2,use,Thermometers,Termómetros
element.32.fact,fact,Was the original material in the very first transistors and computers!,¡Era el material original de los primeros transistores y ordenadores!
element.32.whatIf,whatIf,"If germanium hadn't been discovered, the first computer transistor invented in 1947 might not have worked — and modern computers might be decades behind.","Si no se hubiera descubierto el germanio, el primer transistor informático inventado en 1947 quizá no habría funcionado — y los ordenadores modernos podrían estar décadas por detrás."
element.32.where,where,"Mostly comes as a byproduct of zinc mining in China, Russia, and Germany (where it got its name!).","Principalmente es un subproducto de la minería de zinc en China, Rusia y Alemania (¡de donde tomó su nombre!)."
element.32.uses.0,use,Fiber optics,Fibra óptica
element.32.uses.1,use,Solar cells,Celdas solares
element.32.uses.2,use,Lenses,Objetivos
element.33.fact,fact,Famous as a poison in old detective stories! Now used in some electronics.,¡Famoso como veneno en las viejas historias de detectives! Ahora se usa en algunos aparatos electrónicos.
element.33.whatIf,whatIf,"If you ate even a tiny bit of arsenic, it could make you very, very sick — that's why it was nicknamed 'inheritance powder' in old Europe!","Si comías aunque fuera un poco de arsénico, podía enfermarte muy, muy mal — ¡por eso se le llamaba 'polvo de la herencia' en la vieja Europa!"
element.33.where,where,Found in many ores around the world. Also naturally seeps into well water in some places like Bangladesh.,"Se encuentra en muchos minerales de todo el mundo. Además, se filtra naturalmente en el agua de pozo en algunos lugares como Bangladés."
element.33.uses.0,use,Semiconductors,Semiconductores
element.33.uses.1,use,Pesticides,Pesticidas
element.33.uses.2,use,LEDs,LEDs
element.34.fact,fact,Found in your dandruff shampoo! Also helps photocopiers work.,¡Se encuentra en tu champú anticaspa! También ayuda a que funcionen las fotocopiadoras.
element.34.whatIf,whatIf,"If you ate too many Brazil nuts (which are super high in selenium), your hair could actually fall out! Just one or two a day is plenty.","Si comieras demasiadas nueces de Brasil (que tienen un alto contenido de selenio), ¡tu pelo podría caerse! Solo uno o dos al día es suficiente."
element.34.where,where,"Comes as a byproduct of refining copper, mostly in Japan, Germany, Belgium, and Russia.","Surge como subproducto del refinado del cobre, principalmente en Japón, Alemania, Bélgica y Rusia."
element.34.uses.0,use,Shampoo,Champú
element.34.uses.1,use,Solar cells,Celdas solares
element.34.uses.2,use,Glass,Vidrio
element.35.fact,fact,One of only two elements that's a liquid at room temperature! Smells terrible.,¡Uno de los dos únicos elementos que es un líquido a temperatura ambiente! Huele fatal.
element.35.whatIf,whatIf,"If you spilled liquid bromine, the brown vapor would burn your eyes, lungs, and skin — its name literally means 'stench' in Greek!","Si derramaras bromo líquido, el vapor marrón te quemaría los ojos, pulmones y piel — ¡su nombre significa literalmente 'hedor' en griego!"
element.35.where,where,"Extracted from salty water in the Dead Sea (Israel/Jordan), Arkansas, and China.","Extraído de agua salada en el Mar Muerto (Israel/Jordania), Arkansas y China."
element.35.uses.0,use,Flame retardants,Retardantes de llama
element.35.uses.1,use,Photography,Fotografía
element.35.uses.2,use,Water purification,Purificación de agua
element.36.fact,fact,"Yes, like Superman's home planet! Used in some bright camera flashes.","¡Sí, como el planeta natal de Superman! Se usa en flashes de cámara muy brillantes."
element.36.whatIf,whatIf,Sorry to disappoint — krypton on Earth is just an invisible gas. No green glowing rocks here!,Siento decepcionarte — Krypton en la Tierra es solo un gas invisible. ¡Aquí no hay piedras verdes brillantes!
element.36.where,where,Tiny amounts in the air (about 1 part per million). Extracted from liquid air.,Cantidades diminutas en el aire (aproximadamente 1 parte por millón). Extraído del aire líquido.
element.36.uses.0,use,Lasers,Láseres
element.36.uses.1,use,Light bulbs,Bombillas
element.36.uses.2,use,Camera flashes,Flashes de cámara
element.37.fact,fact,Used in the world's most accurate atomic clocks!,¡Usado en los relojes atómicos más precisos del mundo!
element.37.whatIf,whatIf,"If you dropped rubidium in water, it would explode even more fiercely than potassium — these alkali metals get wilder as you go down the column!","Si dejas caer rubidio en agua, explotaría aún más que el potasio: ¡estos metales alcalinos se vuelven más salvajes a medida que bajas por la columna!"
element.37.where,where,"Found in lepidolite minerals in Canada, Italy, and Russia. Pretty rare and expensive.","Se encuentra en minerales de lepidolita en Canadá, Italia y Rusia. Bastante raro y caro."
element.37.uses.0,use,Atomic clocks,Relojes atómicos
element.37.uses.1,use,Fireworks,Fuegos artificiales
element.37.uses.2,use,Research,Investigación
element.38.fact,fact,Makes the bright red colors in fireworks! Boom!,¡Hace los colores rojos brillantes en los fuegos artificiales! ¡Boom!
element.38.whatIf,whatIf,"Without strontium, the Fourth of July would look very different — every red firework you've ever seen owes its color to this element!","Sin estroncio, el 4 de julio sería muy diferente — ¡todos los fuegos artificiales rojos que hayas visto deben su color a este elemento!"
element.38.where,where,"Mined as celestite ore, mostly in Spain, Mexico, and China.","Se extraía como mineral de celestita, principalmente en España, México y China."
element.38.uses.0,use,Red fireworks,Fuegos artificiales rojos
element.38.uses.1,use,Magnets,Imanes
element.38.uses.2,use,Glow paint,Pintura glow
element.39.fact,fact,Makes the red color glow on old TV screens!,¡Hace que el color rojo brille en las pantallas viejas de la tele!
element.39.whatIf,whatIf,"Without yttrium, those fancy yttrium-aluminum-garnet (YAG) lasers used by surgeons wouldn't exist — they're how doctors zap eye problems away!","Sin el itrio, esos sofisticados láseres de itrio-aluminio-granate (YAG) que usan los cirujanos no existirían: ¡son la forma en que los médicos eliminan los problemas oculares!"
element.39.where,where,Named after a tiny village in Sweden (Ytterby) where four elements were discovered! Mined in China.,Nombrado así por un pequeño pueblo en Suecia (Ytterby) donde se descubrieron cuatro elementos. Minado en China.
element.39.uses.0,use,TV screens,Pantallas de televisión
element.39.uses.1,use,LEDs,LEDs
element.39.uses.2,use,Lasers,Láseres
